ID	Election ID	Office Code	Borough Code	Political District	Assembly District	Election District	Election Name	Office Title	Borough Name	ED Used	Number of Candidates	Vote for	Formatted District	Public Counter	Absentee/Military Ballot	Federal Ballot	Emergency Ballot	Affidavit Ballot	Total Votes for this Office	Scattered Votes	Unrecorded Votes
2009G124NY22	2009G	12	4	NY	22		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	13933	307	0	51	127	13837	3	603
2009G124NY23	2009G	12	4	NY	23		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	21214	600	0	44	135	21589	6	404
2009G124NY24	2009G	12	4	NY	24		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	24059	485	0	4	145	24164	1	529
2009G124NY25	2009G	12	4	NY	25		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	15270	286	0	36	155	15295	4	464
2009G124NY26	2009G	12	4	NY	26		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	26216	711	0	0	168	26443	3	653
2009G124NY27	2009G	12	4	NY	27		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	17529	442	0	108	174	17827	5	426
2009G124NY28	2009G	12	4	NY	28		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	21979	649	0	58	151	22542	9	390
2009G124NY29	2009G	12	4	NY	29		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	17221	311	0	24	133	17501	3	188
2009G124NY30	2009G	12	4	NY	30		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	15859	252	0	15	136	15970	7	292
2009G124NY31	2009G	12	4	NY	31		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	13329	394	0	15	159	13721	0	193
2009G124NY32	2009G	12	4	NY	32		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	15819	222	0	27	162	15915	2	315
2009G124NY33	2009G	12	4	NY	33		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	18658	243	0	4	139	18820	2	224
2009G124NY34	2009G	12	4	NY	34		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	12854	181	0	39	112	12911	2	287
2009G124NY35	2009G	12	4	NY	35		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	12153	237	0	21	102	12276	0	237
2009G124NY36	2009G	12	4	NY	36		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	14288	192	0	1	192	14313	6	360
2009G124NY37	2009G	12	4	NY	37		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	13708	159	0	12	174	13732	3	325
2009G124NY38	2009G	12	4	NY	38		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	12979	176	0	10	118	13002	2	281
2009G124NY39	2009G	12	4	NY	39		General Election 2009 - 11	Mayor	Queens		10	01	TOTAL	9256	93	0	5	95	9203	2	246
2009G123NY40	2009G	12	3	NY	40		General Election 2009 - 11	Mayor	Kings		10	01	TOTAL	16934	177	0	7	213	17121	2	210
2009G123NY41	2009G	12	3	NY	41		General Election 2009 - 11	Mayor	Kings		10	01	TOTAL	19355	333	0	201	169	19708	1	350
2009G123NY42	2009G	12	3	NY	42		General Election 2009 - 11	Mayor	Kings		10	01	TOTAL	14422	200	0	22	167	14560	0	251
